symbol,price,volume,ts,dt
AAPL,229.5,100,1755023267929,2025-08-12 18:27:47.929
AAPL,229.51,197,1755023267929,2025-08-12 18:27:47.929
AAPL,229.51,100,1755023267929,2025-08-12 18:27:47.929
AAPL,229.54,100,1755023271883,2025-08-12 18:27:51.883
GOOGL,203.65,100,1755023279206,2025-08-12 18:27:59.206
MSFT,530.26,100,1755023280678,2025-08-12 18:28:00.678
MSFT,530.22,100,1755023282639,2025-08-12 18:28:02.639
AAPL,229.53,100,1755023282642,2025-08-12 18:28:02.642
GOOGL,203.67,100,1755023288184,2025-08-12 18:28:08.184
MSFT,530.29,193,1755023291259,2025-08-12 18:28:11.259
MSFT,530.26,100,1755023299455,2025-08-12 18:28:19.455
MSFT,530.25,200,1755023299735,2025-08-12 18:28:19.735
MSFT,530.225,100,1755023301854,2025-08-12 18:28:21.854
AAPL,229.52,100,1755023302637,2025-08-12 18:28:22.637
MSFT,530.17,155,1755023302922,2025-08-12 18:28:22.922
MSFT,530.17,345,1755023305615,2025-08-12 18:28:25.615
MSFT,530.16,100,1755023305657,2025-08-12 18:28:25.657
AAPL,229.51,100,1755023308023,2025-08-12 18:28:28.023
GOOGL,203.69,100,1755023312057,2025-08-12 18:28:32.057
GOOGL,203.7,100,1755023312058,2025-08-12 18:28:32.058
AAPL,229.51,100,1755023313923,2025-08-12 18:28:33.923
AAPL,229.51,245,1755023314030,2025-08-12 18:28:34.030
GOOGL,203.705,100,1755023314175,2025-08-12 18:28:34.175
GOOGL,203.71,100,1755023314175,2025-08-12 18:28:34.175
GOOGL,203.71,100,1755023314175,2025-08-12 18:28:34.175
GOOGL,203.71,100,1755023314177,2025-08-12 18:28:34.177
GOOGL,203.7,100,1755023315757,2025-08-12 18:28:35.757
